,image0000013A.tif,image0000015A.tif,image0000017A.tif,image0000019A.tif,image0000021A.tif,image0000022A.tif,image0000023A.tif,image0000024A.tif,image0000027A.tif,image0000028A.tif,image0000029A.tif,image0000040A.tif,image0000046A.tif,image0000047A.tif,image0000048A.tif,image0000049A.tif,image0000050A.tif,image0000051A.tif,image0000054A.tif,image0000058A.tif,image0000078A.tif,image0000086A.tif,image0000088A.tif
1,False,-,True,True,True,True,-,False,True,-,True,-,True,True,True,-,-,True,-,False,-,False,-
2,True,-,True,True,True,-,-,-,-,-,-,-,False,True,True,True,True,-,False,True,False,False,-
3,True,-,False,-,True,True,-,False,True,-,True,-,True,True,-,-,True,False,-,-,-,-,-
4,True,-,True,True,-,False,-,False,-,-,True,-,-,-,False,-,-,False,-,False,-,-,-
5,-,-,-,-,True,-,True,False,True,-,True,-,-,True,-,-,-,-,-,-,True,-,-
6,-,-,-,True,False,-,-,-,True,-,-,-,-,True,-,-,True,-,-,-,False,True,-
7,True,-,-,-,True,-,True,-,-,-,-,-,-,True,-,-,True,-,-,False,False,False,-
8,-,-,-,-,-,-,False,-,True,-,-,-,False,-,False,-,False,-,-,True,-,False,-
9,-,-,True,-,True,True,True,-,-,-,True,-,True,True,False,-,True,False,-,False,-,True,-
10,True,-,-,-,True,-,True,-,-,False,True,-,-,True,True,-,True,-,-,True,True,True,-
11,True,-,True,True,True,False,False,-,False,-,True,-,-,False,True,-,True,True,False,True,False,False,-
12,-,-,True,True,True,True,True,-,True,-,True,-,-,True,False,-,True,True,-,False,False,False,-
13,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,True,-,False,True,False,-
14,-,-,-,-,-,-,True,-,-,-,True,-,False,True,-,-,-,-,-,-,True,False,-
15,True,-,-,-,-,-,-,False,False,False,True,-,True,-,-,-,True,True,-,-,False,False,-
16,-,-,-,-,-,-,-,-,-,-,True,-,True,False,-,-,-,-,-,-,False,False,-
17,-,-,-,True,-,-,-,False,True,-,-,-,True,False,-,-,False,-,-,-,False,False,-
18,True,-,False,True,True,-,-,-,-,True,True,-,True,True,True,-,-,True,-,-,False,False,-
19,-,-,False,True,-,-,-,True,False,-,True,-,True,True,False,-,-,-,-,False,False,False,-
20,False,-,-,-,-,-,-,-,-,-,True,-,True,True,True,-,False,-,-,False,False,-,-
21,True,-,-,True,-,-,-,-,True,-,True,-,False,True,True,-,True,-,-,-,False,False,-
22,False,-,-,-,-,-,True,-,-,-,-,-,True,-,-,False,True,False,False,-,False,-,-
23,-,-,-,-,-,-,-,-,True,-,-,-,True,-,-,-,-,-,-,False,False,-,-
