,image0000046A
1,True
2,False
3,True
4,-
5,-
6,-
7,-
8,False
9,True
10,-
11,-
12,-
13,-
14,False
15,True
16,True
17,True
18,True
19,True
20,True
21,False
22,True
23,True
24,False
25,True
26,True
27,True
28,True
29,True
30,True
31,-
32,-
33,-
34,-
35,-
36,-
37,-
38,-
39,-
40,-
41,-
42,-
43,-
44,-
45,-
46,-
47,-
48,-
49,-
50,-
51,-
52,True
53,-
54,-
55,True
56,True
57,True
58,True
59,True
60,True
61,False
62,-
63,True
64,True
65,True
66,True
67,True
68,False
69,True
70,True
71,True
72,True
73,True
74,True
75,False
76,True
77,False
78,False
79,False
80,False
81,True
82,True
83,True
84,False
85,True
86,True
87,False
88,False
89,True
90,False
91,True
92,True
93,True
94,True
95,-
96,False
97,-
98,-
99,-
100,True
101,-
102,-
103,-
104,-
105,-
106,-
107,-
108,-
109,True
110,True
111,True
112,True
113,True
114,False
115,True
116,True
117,True
118,True
119,False
120,True
121,True
122,True
123,True
124,-
125,False
126,True
127,True
128,-
129,False
130,True
131,-
132,True
133,True
134,True
135,True
136,-
137,-
138,-
139,-
140,-
141,-
142,-
143,False
144,False
145,-
146,True
147,True
148,True
149,True
150,False
151,-
152,-
153,-
154,-
155,-
156,-
157,-
158,-
159,-
160,-
161,-
162,-
163,-
164,-
165,-
